Frame,Sub Frame,GM,SL
24,9,-0.00164032,-0.00350952
25,0,-0.00480652,-0.00102997
25,1,-0.00144958,-0.0019455
25,2,0.00263214,-0.00534058
25,3,0.00358582,-0.00621796
25,4,0.00339508,-0.00465393
25,5,0.00038147,-0.0056076
25,6,-0.0037384,-0.00762939
25,7,-0.00400543,-0.00656128
25,8,-0.00431061,-0.00610352
25,9,-0.00328064,-0.00617981
26,0,-0.00408173,-0.00629425
26,1,-0.00679016,-0.00427246
26,2,-0.00453949,-0.00209808
26,3,-0.000343323,-0.00247955
26,4,0.00427246,-0.00263214
26,5,0.00648499,-0.00102997
26,6,0.0050354,-0.000343323
26,7,0.00255585,-0.000991821
26,8,0.00297546,-0.00347137
26,9,0.000495911,-0.00358582
27,0,-0.00385284,-0.0031662
27,1,-0.00740051,-0.0019455
27,2,-0.00869751,-0.00202179
27,3,-0.00701904,-0.00171661
27,4,-0.00457764,-0.00125885
27,5,-0.00415802,-0.00205994
27,6,-0.00427246,-0.000648499
27,7,-0.00530243,0.00190735
27,8,-0.00247955,0.00240326
27,9,-0.00190735,0.00118256
28,0,0.000953674,0.00232697
28,1,-0.00183105,0.00514984
28,2,0.000152588,0.00324249
28,3,0.00205994,-0.00087738
28,4,0.00362396,-0.00400543
28,5,0.00324249,-0.00408173
28,6,0.00167847,-0.00347137
28,7,0.00167847,-0.00114441
28,8,0.00167847,0.00118256
28,9,-3.8147e-05,0.00274658
29,0,-0.000534058,0.00583649
29,1,0.000686646,0.00720978
29,2,0.00274658,0.00694275
29,3,0.00240326,0.00686646
29,4,-0.00225067,0.0063324
29,5,-0.00720978,0.0087738
29,6,-0.00930786,0.00953674
29,7,-0.000267029,0.00812531
29,8,0.00972748,0.00736237
29,9,0.0106049,0.00713348
30,0,0.00843048,0.00728607
30,1,0.00640869,0.00576019
30,2,0.00587463,0.00404358
30,3,0.00862122,0.000801086
30,4,0.0125504,0.000114441
30,5,0.0148773,-0.000114441
30,6,0.0149155,-0.00144958
30,7,0.0113297,-0.0031662
30,8,0.0075531,-0.00476837
30,9,0.00385284,-0.00442505
31,0,0.000228882,-0.00331879
31,1,-0.00102997,-0.00183105
31,2,-0.00312805,-0.00133514
31,3,-0.00450134,-0.00240326
31,4,-0.00137329,-0.00152588
31,5,-0.000114441,-0.00267029
31,6,-0.00160217,-0.00205994
31,7,0.00167847,-0.000648499
31,8,0.00694275,-0.00179291
31,9,0.0056076,-0.00164032
32,0,0.00423431,-0.00301361
32,1,0.0030899,-0.00335693
32,2,0.00125885,-0.00354767
32,3,-0.00038147,-0.00358582
32,4,-0.0025177,-0.00453949
32,5,-0.00343323,-0.00358582
32,6,-0.00278473,-0.00171661
32,7,-0.00236511,-0.000495911
32,8,-0.00450134,-0.000305176
32,9,-0.00556946,-0.000610352
33,0,-0.00549316,0.000686646
33,1,-0.00484467,0.000762939
33,2,-0.00461578,0.00118256
33,3,-0.00419617,0.00244141
33,4,-0.00354767,0.00255585
33,5,-0.0050354,0.00240326
33,6,-0.00816345,0.00259399
33,7,-0.00774384,0.00358582
33,8,-0.00331879,0.0056839
33,9,-0.00144958,0.00507355
34,0,-0.00156403,0.00518799
34,1,-0.00221252,0.00343323
34,2,-0.00255585,7.62939e-05
34,3,-0.000152588,-0.00240326
34,4,0.00331879,-0.00183105
34,5,0.0043869,0.00144958
34,6,0.00492096,0.001297
34,7,0.0044632,0.00114441
34,8,0.00389099,-0.000839233
34,9,-0.000152588,-0.00232697
35,0,-0.00473022,-0.00289917
35,1,-0.00499725,-0.00457764
35,2,-0.00232697,-0.00598907
35,3,-0.00152588,-0.00602722
35,4,-0.00297546,-0.00675201
35,5,-0.00205994,-0.00938416
35,6,-0.00331879,-0.010643
35,7,-0.000228882,-0.00938416
35,8,0.00125885,-0.0063324
35,9,0.000724792,-0.00476837
36,0,0.00167847,-0.0056076
36,1,0,-0.00652313
36,2,-0.00171661,-0.00659943
36,3,-0.00221252,-0.00587463
36,4,-0.0038147,-0.00720978
36,5,-0.00480652,-0.00637054
36,6,-0.00526428,-0.0031662
36,7,-0.00286102,0.000190735
36,8,-0.00038147,0.00175476
36,9,0.00160217,0.00385284
37,0,0.000839233,0.00488281
37,1,-0.000534058,0.00476837
37,2,-0.000343323,0.00408173
37,3,0.00183105,0.00640869
37,4,0.00396729,0.00930786
37,5,7.62939e-05,0.0108337
37,6,-0.00175476,0.0106812
37,7,-0.00274658,0.00835419
37,8,0.00320435,0.00732422
37,9,0.00354767,0.0056839
38,0,0.00263214,0.00499725
38,1,0.00297546,0.00747681
38,2,0.00602722,0.00831604
38,3,0.0101089,0.00717163
38,4,0.0114441,0.00720978
38,5,0.00984192,0.00591278
38,6,0.0087738,0.00400543
38,7,0.00953674,0.00114441
38,8,0.00873566,-0.00343323
38,9,0.00465393,-0.00473022
39,0,0.000762939,-0.0038147
39,1,-0.000762939,-0.00354767
39,2,-0.00164032,-0.00354767
39,3,-0.00183105,-0.00255585
39,4,-0.000343323,-0.00263214
39,5,0.000724792,-0.00534058
39,6,-0.00419617,-0.0056839
39,7,-0.00343323,-0.00423431
39,8,0.000190735,-0.00385284
39,9,0.00282288,-0.0030899
40,0,0.00190735,-0.00267029
40,1,-0.00198364,0.000228882
40,2,-0.00213623,0.00385284
40,3,0.000228882,0.00324249
40,4,0.00171661,-0.000762939
40,5,0.00232697,-0.00370026
40,6,0.00114441,-0.0031662
40,7,-0.000648499,0.000419617
40,8,-0.00324249,0.000915527
40,9,-0.00534058,0.00236511
41,0,-0.00732422,0.00591278
41,1,-0.00606537,0.00617981
41,2,-0.00362396,0.00469208
41,3,-0.00141144,0.00705719
41,4,-0.00164032,0.00957489
41,5,-0.00205994,0.00762939
41,6,-0.00202179,0.00457764
41,7,-0.000991821,0.0031662
41,8,0.00202179,0.00556946
41,9,0.0025177,0.00686646
42,0,0.00156403,0.00621796
42,1,0.00301361,0.0063324
42,2,0.00541687,0.00511169
42,3,0.00656128,0.00137329
42,4,0.00709534,-0.00209808
42,5,0.00545502,-0.00148773
42,6,0.00530243,0
42,7,0.00450134,-0.000190735
42,8,0.00320435,-0.00202179
42,9,-0.00247955,-0.000953674
43,0,-0.00705719,0.000572205
43,1,-0.0063324,-0.000534058
43,2,-0.0056839,-0.00335693
43,3,-0.00469208,-0.00598907
43,4,-0.00495911,-0.00663757
43,5,-0.00629425,-0.00743866
43,6,-0.00507355,-0.00686646
43,7,0.000839233,-0.0044632
43,8,0.0044632,-0.00385284
43,9,0.00125885,-0.00408173
44,0,-0.00392914,-0.00453949
44,1,-0.00919342,-0.00526428
44,2,-0.0120163,-0.00659943
44,3,-0.0107574,-0.00602722
44,4,-0.00797272,-0.00785828
44,5,-0.00205994,-0.00988007
44,6,0.00537872,-0.00862122
44,7,0.00736237,-0.00663757
44,8,0.00736237,-0.00507355
44,9,0.00656128,-0.00411987
45,0,0.000534058,-0.00114441
45,1,-0.00442505,0.00179291
45,2,-0.00389099,0.00347137
45,3,0.00247955,0.00221252
45,4,0.0062561,-0.00144958
45,5,0.0012207,-0.00156403
45,6,-0.00614166,0.000762939
45,7,-0.00518799,0.00320435
45,8,0.000915527,0.00198364
45,9,0.00411987,0.00305176
46,0,0.00320435,0.000648499
46,1,0.000419617,-0.00267029
46,2,-0.00125885,-0.00408173
46,3,0.000572205,-0.00453949
46,4,0.00778198,-0.00274658
46,5,0.0120926,-0.000762939
46,6,0.0137329,3.8147e-05
46,7,0.0118256,-0.000305176
46,8,0.00789642,-0.000419617
46,9,0.00160217,-0.000114441
47,0,-0.0044632,0.00263214
47,1,-0.00602722,0.0043869
47,2,-0.00408173,0.00411987
47,3,-0.00263214,0.00202179
47,4,-0.00293732,0.000762939
47,5,-0.00377655,0.00160217
47,6,-0.00221252,0.00247955
47,7,-0.00144958,0.00286102
47,8,-0.00038147,0.00137329
47,9,-0.00255585,-0.000267029
48,0,-0.00507355,0.000648499
48,1,-0.0044632,0.00102997
48,2,-0.0030899,-0.00179291
48,3,-0.000495911,-0.0037384
48,4,-0.0012207,-0.00339508
48,5,-0.00293732,-0.00225067
48,6,-0.00328064,-0.00267029
48,7,-0.00244141,-0.00183105
48,8,-0.00289917,3.8147e-05
48,9,-0.00297546,0.0038147
49,0,-0.00404358,0.00572205
49,1,-0.00411987,0.00606537
49,2,-0.00324249,0.0062561
49,3,-0.000991821,0.0069809
49,4,-0.000343323,0.00793457
49,5,-0.000686646,0.00835419
49,6,-0.00160217,0.00892639
49,7,-0.00236511,0.00808716
49,8,0.00167847,0.00717163
49,9,0.00301361,0.00564575
50,0,0.00286102,0.00423431
50,1,0.00423431,0.00293732
50,2,0.0044632,0.00156403
50,3,0.00480652,-0.000610352
50,4,0.00873566,-0.00133514
50,5,0.0101852,-0.0018692
50,6,0.00801086,-0.0030899
50,7,0.00598907,-0.00350952
50,8,0.00476837,-0.00339508
50,9,0.00247955,-0.00202179
51,0,-0.00156403,-0.00175476
51,1,-0.00297546,-0.00324249
51,2,-0.000267029,-0.00442505
51,3,0,-0.00469208
51,4,-0.00209808,-0.0044632
51,5,-0.00610352,-0.00534058
51,6,-0.00431061,-0.00518799
51,7,-0.00209808,-0.00518799
51,8,0.00171661,-0.00392914
51,9,0.00038147,-0.00492096
52,0,0.00110626,-0.00682831
52,1,0.00137329,-0.00640869
52,2,0.00213623,-0.0056839
52,3,0.000152588,-0.00705719
52,4,-0.00480652,-0.00766754
52,5,-0.00488281,-0.0087738
